tstamp	host	url	description_str	title	keywords_split
2023-09-20T19:10:41.349Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0027e.pdf		CIT 0027 E : Request for Withdrawal of Citizenship Application	
2023-09-20T19:25:56.982Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0058e.pdf		CIT 0058 E : APPLICATION FOR A SEARCH OF CITIZENSHIP RECORDS	
2023-09-20T19:34:14.904Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0172e-2.pdf		CIT 0172 E : Document checklist - Application for Canadian Citizenship - Adults - Canadian Armed For	
2023-09-20T18:42:13.850Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0177e-2.pdf	For adult citizenship applicants declaring residence outside Canada as a Crown Servant or with a Crown Servant family member (spouse, common-law partner or parent)	CIT 0177 E : RESIDENCE OUTSIDE CANADA	
2023-09-20T18:39:03.898Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0301e-2.pdf		CIT 0301 E : Application to Resume Canadian Citizenship - Under subsection 11	
2023-09-20T19:05:04.393Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0302e-2.pdf		CIT 0302 E : Application to Renounce Canadian Citizenship - Under subsection 9(1)	
2023-09-20T18:47:59.654Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0402e-2.pdf		CIT 0402 E : Document checklist - Application to Renounce Canadian Citizenship - Under subsection 9(	
2023-09-20T18:46:22.665Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0403e.pdf		CIT 0403 E :APPLICATION FOR CANADIAN CITIZENSHIP - MINORS (under 18 years of age) APPLYING UNDER SUB	
2023-09-20T18:57:26.242Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0407e-2.pdf		CIT 0407 E : How to Calculate Physical Presence	
2023-09-20T18:51:26.602Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0457e.pdf		CIT 0457 E : Solemn Declaration - Concerning a Citizenship Certificate that was Lost, Stolen, Destro	
2023-09-20T19:17:53.129Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0458e.pdf		CIT 0458 E : Statutory declaration of common-law union	
2023-09-20T18:39:21.580Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0480e.pdf		CIT 0480 E : Canadian Citizenship Certificate Preparation Form	
2023-09-20T18:50:15.340Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0484e-2.pdf		CIT 0484E: Document Checklist - Part 1 - Confirmation of Canadian Citizenship of the Adoptive Parent	
2023-09-20T19:16:41.197Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0485e-2.pdf		CIT 0485E: Document Checklist - Part 2 - Adoptee's Application	
2023-09-20T18:58:29.186Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0496e-2.pdf		CIT 0496 E : Application to Renounce Canadian Citizenship - R7.1 (for certain persons who acquired c	
2023-09-20T19:25:08.956Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0497e-2.pdf		CIT 0497 E : Application for Grant of Citizenship for Stateless Persons Born to a Canadian Parent on	
2023-09-20T19:16:35.639Z	www.canada.ca	https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/kits/citizen/cit0499e-2.pdf		CIT 0499 E : Document Checklist - Application for Grant of Citizenship for Stateless Persons Born to	
